tɕi,2,其淇琪祺棋棊碁旗期蜞騏麒綦萁娸璂𤪌奇崎琦埼錡騎攲碕觭踦伎岐歧蚑跂祈圻旂頎蘄芪祇示疧疷軝耆鳍䰇俟
tɕi,3,几机麂己紀杞幾蟣庋掎剞踦擠[(俗音)]濟[(俗音)]
tɕi,5,季悸痵鯚伎技妓芰忮屐記紀忌跽邔計寄徛騎既塈暨蔇穊繼檵其惎洎瘈覬薊繫結𦇧罽禨企[(俗音)]跂[(俗音)]錡[(俗音)]冀[(或音)]驥[(或音)]祭[(俗音)]濟[(俗音)]
tɕi,7,及汲伋岌芨級笈扱极圾鈒吸吉咭姞蛣佶鮚髻亟極殛急給戟撠棘襋劇革擊毄墼轚激檄迹[(俗音)]積[(俗音)]脊[(俗音)]葺[(俗音)]
tsi,1,躋隮劑齎齏𧆌賫賷且沮狙苴罝疽砠趄菹葅睢蛆齟
tsi,2,齊臍蠐懠艩薺
tsi,3,擠濟鱭鮆癠泲沮咀鉏齟
tsi,5,祭際漈穄傺齊劑穧濟嚌薺懠霽粢檇眥沮怚聚
tsi,7,迹跡蹟勣幘磧積績脊瘠蹐鶺塉疾嫉蒺槉集即蝍唧堲鯽耤籍藉踖葺戢楫檝蕺緝輯揖濈𥊬䐕𧤏寂稷孶䜉聻
tɕʰi,1,欺倛諆僛欹踦觭溪谿榿期[(異讀)]𤄬[(異讀)]妻[(俗音)]沏[(俗音)]
tɕʰi,2,齊[(異讀)]臍[(異讀)]幾[(異讀)]畦[(異讀)]其[(俗音)]奇[(俗音)]祁[(俗音)]
tɕʰi,3,起杞屺芑圮豈啟綮棨启稽掎綺[(異讀)]
tɕʰi,5,氣气汽餼霼炁契禊瘈鍥栔㓶企跂棄器噐憩憇亟愒偈揭甈蟿欬楔[(又音)]妻[(又音)]砌[(又音)]
tɕʰi,7,乞仡忔汔犵迄訖疙吃屹喫契泣[(異讀)]七[(俗音)]漆[(俗音)]戚[(俗音)]慼[(俗音)]輯[(俗音)]葺[(俗音)]磧[(俗音)]
tsʰi,1,妻淒凄悽萋郪棲栖沏泚齌蛆趨趍
tsʰi,3,取
tsʰi,5,妻砌取娶趣覰覷覻
tsʰi,7,七柒漆桼戚慼磩鏚蹙墄刺崒寂覰咠績
ɕi,1,希稀唏悕□晞睎郗欷豨鵗奚溪谿傒徯蹊豀㜎謑鼷䙎鸂僖嘻嬉熹憙禧譆戲嚱巇羲犧㰕曦兮熙畦醯屎娭誒赥釐西[(俗音)]犀[(俗音)]嘶[(俗音)]
ɕi,2,巂酅攜携擕蠵觿鑴眭畦
ɕi,3,喜憙蟢禧巂霼洗[(俗音)]葸[(俗音)]枲[(俗音)]徙[(俗音)]
ɕi,5,系係繫戲咥屭愾霼盻餼憙塈[(俗音)]嚱[(俗音)]禊[(俗音)]細[(俗音)]
ɕi,7,翕歙噏熻潝闟㬛泣湇檄綌卻郄隙𨻶肸虩衋覡鬩䦧闃郹吸扱赥赩昔[(俗音)]夕[(俗音)]析[(俗音)]息[(俗音)]
si,1,西恓粞栖硒犀樨棲嘶澌撕𤷡溺尿縰纚胥糈湑諝醑需繻鑐須嬃鬚𨬗荽綏雖[(俗音)]
si,2,徐邪隋[(俗音)]隨[(俗音)]
si,3,洗銑洒葸諰璽兕枲徙蓰屣蹝縰釃躧纚嶼鱮綏瀡髓湑糈諝醑稰
si,5,細序敍叙潊溆絮緒遂[(俗音)]碎[(俗音)]歲[(俗音)]
si,7,昔㫺惜腊唶夕汐穸矽悉蟋僁窸㗭席蓆析㭊晳皙唽晰淅蜥息媳熄螅鄎習褶熠霫膝䣛𧀬隰裼錫舃舄磶襲卌侐洫恤卹賉殈戌壻婿
ȵi,2,尼呢泥怩妮苨柅埿鈮兒倪郳猊貎唲䘽鯢霓蜺輗麑齯宜疑嶷沂狋鸃臡儀[(俗音)]
ȵi,3,你伱尼泥旎昵擬儗薿檷禰蟻檥艤轙螘顗
ȵi,5,膩睨堄倪泥䛏乂刈艾義議誼詣藝蓺埶秇囈讛襼寱劓㓷毅藙
ȵi,7,匿暱昵尼逆𠸺𠱘搦溺嶷惄鷊虉鶃𱊈
vi,1,威[(叶音)]
vi,2,為[(叶音)]
vi,3,偉[(叶音)]
vi,5,味[(叶音)]
kvi,1,歸[(叶音)]
kvi,2,垂[(叶音)]
kvi,3,鬼[(叶音)]
kvi,5,墜[(叶音)]
kʰvi,1,窺[(叶音)]
kʰvi,3,跪[(叶音)]
kʰvi,5,潰[(叶音)]
u,1,污汙圬杇洿烏嗚鄔㮧鎢巫誣於惡
u,2,吾梧唔峿鼯浯郚鋙齬吳蜈俁無无蕪毋亡
u,3,五伍午仵忤啎牾武娬嫵碔鵡侮潕舞憮廡膴甒儛隖塢摀
u,5,晤悟捂焐寤汙戊惡誤悞務婺霧騖鶩迕遻
u,7,屋物歾𩑦勿[(異讀)]沕[(異讀)]兀[(異讀)]杌[(異讀)]卼[(異讀)]沃[(異讀)]鋈[(異讀)]
pu,1,晡逋餔
pu,2,菩匍葡蒲莆蒱酺荸
pu,3,補捕哺埔
pu,5,布佈怖抪𥑢步部篰蔀埠簿哺捕餔酺
pu,7,不𡋯[(俗音)]脖[(俗音)]㶿[(俗音)]卜[(異讀)]醭[(異讀)]
pʰu,1,鋪痡晡[(或音)]逋[(或音)]餔[(或音)]
pʰu,2,菩[(俗音)]匍[(俗音)]蒲[(俗音)]
pʰu,3,圃浦溥埔普譜諩氆𠽾鐠
pʰu,5,鋪舖堡[(異讀)]
pʰu,7,仆扑朴卜孛浡悖勃渤𡋯桲誖脖鵓㶿馞僕樸墣璞蹼鏷撲幞䪁醭轐濮襆襥暴爆曝襮瀑踣覆[(俗音)]
fu,1,夫伕砆玞衭趺鈇麩敷膚鄜孵不柎胕跗乎呼虖嘑歑謼滹膴幠戲
